trade_date,trade_symbol,factor_value
2021-07-19,000001.SZ,
2021-07-19,000333.SZ,
2021-07-19,000858.SZ,
2021-07-19,002027.SZ,
2021-07-19,002230.SZ,
2021-07-19,002415.SZ,
2021-07-19,002594.SZ,
2021-07-19,002714.SZ,
2021-07-19,300015.SZ,
2021-07-19,300124.SZ,
2021-07-19,300750.SZ,
2021-07-19,600030.SH,
2021-07-19,600050.SH,
2021-07-19,600276.SH,
2021-07-19,600309.SH,
2021-07-19,600900.SH,
2021-07-19,601088.SH,
2021-07-19,601318.SH,
2021-07-19,601668.SH,
2021-07-19,688008.SH,
2021-07-20,000001.SZ,
2021-07-20,000333.SZ,
2021-07-20,000858.SZ,
2021-07-20,002027.SZ,
2021-07-20,002230.SZ,
2021-07-20,002415.SZ,
2021-07-20,002594.SZ,
2021-07-20,002714.SZ,
2021-07-20,300015.SZ,
2021-07-20,300124.SZ,
2021-07-20,300750.SZ,
2021-07-20,600030.SH,
2021-07-20,600050.SH,
2021-07-20,600276.SH,
2021-07-20,600309.SH,
2021-07-20,600900.SH,
2021-07-20,601088.SH,
2021-07-20,601318.SH,
2021-07-20,601668.SH,
2021-07-20,688008.SH,
2021-07-21,000001.SZ,
2021-07-21,000333.SZ,
2021-07-21,000858.SZ,
2021-07-21,002027.SZ,
2021-07-21,002230.SZ,
2021-07-21,002415.SZ,
2021-07-21,002594.SZ,
2021-07-21,002714.SZ,
2021-07-21,300015.SZ,
2021-07-21,300124.SZ,
2021-07-21,300750.SZ,
2021-07-21,600030.SH,
2021-07-21,600050.SH,
2021-07-21,600276.SH,
2021-07-21,600309.SH,
2021-07-21,600900.SH,
2021-07-21,601088.SH,
2021-07-21,601318.SH,
2021-07-21,601668.SH,
2021-07-21,688008.SH,
2021-07-22,000001.SZ,
2021-07-22,000333.SZ,
2021-07-22,000858.SZ,
2021-07-22,002027.SZ,
2021-07-22,002230.SZ,
2021-07-22,002415.SZ,
2021-07-22,002594.SZ,
2021-07-22,002714.SZ,
2021-07-22,300015.SZ,
2021-07-22,300124.SZ,
2021-07-22,300750.SZ,
2021-07-22,600030.SH,
2021-07-22,600050.SH,
2021-07-22,600276.SH,
2021-07-22,600309.SH,
2021-07-22,600900.SH,
2021-07-22,601088.SH,
2021-07-22,601318.SH,
2021-07-22,601668.SH,
2021-07-22,688008.SH,
2021-07-23,000001.SZ,
2021-07-23,000333.SZ,
2021-07-23,000858.SZ,
2021-07-23,002027.SZ,
2021-07-23,002230.SZ,
2021-07-23,002415.SZ,
2021-07-23,002594.SZ,
2021-07-23,002714.SZ,
2021-07-23,300015.SZ,
2021-07-23,300124.SZ,
2021-07-23,300750.SZ,
2021-07-23,600030.SH,
2021-07-23,600050.SH,
2021-07-23,600276.SH,
2021-07-23,600309.SH,
2021-07-23,600900.SH,
2021-07-23,601088.SH,
2021-07-23,601318.SH,
2021-07-23,601668.SH,
2021-07-23,688008.SH,
2021-07-26,000001.SZ,
2021-07-26,000333.SZ,
2021-07-26,000858.SZ,
2021-07-26,002027.SZ,
2021-07-26,002230.SZ,
2021-07-26,002415.SZ,
2021-07-26,002594.SZ,
2021-07-26,002714.SZ,
2021-07-26,300015.SZ,
2021-07-26,300124.SZ,
2021-07-26,300750.SZ,
2021-07-26,600030.SH,
2021-07-26,600050.SH,
2021-07-26,600276.SH,
2021-07-26,600309.SH,
2021-07-26,600900.SH,
2021-07-26,601088.SH,
2021-07-26,601318.SH,
2021-07-26,601668.SH,
2021-07-26,688008.SH,
2021-07-27,000001.SZ,-16.276346604215444
2021-07-27,000333.SZ,-12.464285714285708
2021-07-27,000858.SZ,-17.706827650709975
2021-07-27,002027.SZ,-11.94267515923567
2021-07-27,002230.SZ,-5.670611439842213
2021-07-27,002415.SZ,-4.203499909796136
2021-07-27,002594.SZ,6.579310344827581
2021-07-27,002714.SZ,-17.25589225589226
2021-07-27,300015.SZ,-16.86264029930519
2021-07-27,300124.SZ,1.4898606704372994
2021-07-27,300750.SZ,-5.442605921199085
2021-07-27,600030.SH,-3.7169042769857454
2021-07-27,600050.SH,-4.278074866310163
2021-07-27,600276.SH,-10.594142259414223
2021-07-27,600309.SH,-10.125000000000004
2021-07-27,600900.SH,-5.474452554744539
2021-07-27,601088.SH,-6.429652042360071
2021-07-27,601318.SH,-11.25541125541126
2021-07-27,601668.SH,-3.013698630136983
2021-07-27,688008.SH,13.419150061717497
2021-07-28,000001.SZ,-13.80349608197709
2021-07-28,000333.SZ,-9.103994242533277
2021-07-28,000858.SZ,-16.159052453468703
2021-07-28,002027.SZ,-7.096774193548392
2021-07-28,002230.SZ,-2.6994906621392127
2021-07-28,002415.SZ,-4.5787873367912635
2021-07-28,002594.SZ,3.951120162932785
2021-07-28,002714.SZ,-22.074688796680498
2021-07-28,300015.SZ,-13.345814388874036
2021-07-28,300124.SZ,-1.8430124635375238
2021-07-28,300750.SZ,-0.5664263645726131
2021-07-28,600030.SH,-3.1298101590559235
2021-07-28,600050.SH,-1.902173913043486
2021-07-28,600276.SH,-11.512998546746331
2021-07-28,600309.SH,-9.613075999630631
2021-07-28,600900.SH,-2.752293577981658
2021-07-28,601088.SH,-5.692307692307693
2021-07-28,601318.SH,-9.142857142857135
2021-07-28,601668.SH,-3.57142857142858
2021-07-28,688008.SH,10.980323260716796
2021-07-29,000001.SZ,-12.143290831815412
2021-07-29,000333.SZ,-6.8901989683124585
2021-07-29,000858.SZ,-16.416832986538704
2021-07-29,002027.SZ,-6.220095693779899
2021-07-29,002230.SZ,-3.3190930003286163
2021-07-29,002415.SZ,-6.81125042358523
2021-07-29,002594.SZ,6.620566013574083
2021-07-29,002714.SZ,-17.65211782412385
2021-07-29,300015.SZ,-9.385710519377808
2021-07-29,300124.SZ,-2.997241033358416
2021-07-29,300750.SZ,0.18521107072965218
2021-07-29,600030.SH,-3.3570701932858604
2021-07-29,600050.SH,-2.724795640326978
2021-07-29,600276.SH,-12.489875263243146
2021-07-29,600309.SH,-5.9629257602045485
2021-07-29,600900.SH,-2.172563625077589
2021-07-29,601088.SH,-4.218750000000007
2021-07-29,601318.SH,-8.316744083167436
2021-07-29,601668.SH,-3.611111111111108
2021-07-29,688008.SH,10.716700473292772
2021-07-30,000001.SZ,-13.16270566727605
2021-07-30,000333.SZ,-7.005318173482487
2021-07-30,000858.SZ,-21.188608458390174
2021-07-30,002027.SZ,-10.764430577223095
2021-07-30,002230.SZ,-10.083772882407684
2021-07-30,002415.SZ,-9.668134100914326
2021-07-30,002594.SZ,6.328328576746488
2021-07-30,002714.SZ,-16.68097896092743
2021-07-30,300015.SZ,-10.379403794037936
2021-07-30,300124.SZ,-4.34782608695653
2021-07-30,300750.SZ,-1.1993166684098588
2021-07-30,600030.SH,-6.375502008032144
2021-07-30,600050.SH,-3.2520325203252063
2021-07-30,600276.SH,-11.270184784418184
2021-07-30,600309.SH,-7.247165532879814
2021-07-30,600900.SH,0.8140262993112133
2021-07-30,601088.SH,-4.192546583850939
2021-07-30,601318.SH,-8.338819398727226
2021-07-30,601668.SH,-3.5911602209944724
2021-07-30,688008.SH,5.41706615532119
2021-08-02,000001.SZ,-10.37677578752317
2021-08-02,000333.SZ,-1.3093901982790925
2021-08-02,000858.SZ,-13.552903879177492
2021-08-02,002027.SZ,-2.7868852459016384
2021-08-02,002230.SZ,-4.005167958656338
2021-08-02,002415.SZ,-9.16030534351146
2021-08-02,002594.SZ,12.56269405302127
2021-08-02,002714.SZ,-5.513439007580975
2021-08-02,300015.SZ,-8.905068608232988
2021-08-02,300124.SZ,5.429228410832907
2021-08-02,300750.SZ,0.9124800284040655
2021-08-02,600030.SH,-3.998000999500253
2021-08-02,600050.SH,-1.902173913043486
2021-08-02,600276.SH,-10.137713622034191
2021-08-02,600309.SH,0.9165731387953646
2021-08-02,600900.SH,0.5649717514124285
2021-08-02,601088.SH,-2.945736434108533
2021-08-02,601318.SH,-6.286223807400804
2021-08-02,601668.SH,-3.2786885245901667
2021-08-02,688008.SH,3.9215686274509816
2021-08-03,000001.SZ,-4.821664464993398
