trade_date,trade_symbol,open,high,low,close,volume,amount
2021-07-19,000333.SZ,55.72,56.13,54.77,56.0,30561168.0,2124892125.0
2021-07-20,000333.SZ,55.62,56.06,55.1,55.58,23094780.0,1603201066.0
2021-07-21,000333.SZ,55.67,55.83,54.14,54.28,51518657.0,3525935837.0
2021-07-22,000333.SZ,54.28,55.8,53.48,54.53,42883759.0,2952043816.0
2021-07-23,000333.SZ,54.53,55.0,53.1,53.46,42451336.0,2851914804.0
2021-07-26,000333.SZ,52.36,52.75,50.99,51.64,57012881.0,3709400702.0
2021-07-27,000333.SZ,51.63,51.88,49.02,49.02,61869875.0,3893777294.0
2021-07-28,000333.SZ,49.02,50.94,48.79,50.52,47782907.0,2994650504.0
2021-07-29,000333.SZ,51.5,51.5,50.0,50.54,39271265.0,2485962571.0
2021-07-30,000333.SZ,50.37,51.16,49.47,50.71,41977874.0,2648623981.0
2021-08-02,000333.SZ,50.7,53.22,49.97,52.76,54445260.0,3553099532.0
2021-08-03,000333.SZ,52.3,57.69,52.04,56.62,89992768.0,6224743064.0
2021-08-04,000333.SZ,56.21,57.23,55.67,55.88,42636229.0,3000695827.0
2021-08-05,000333.SZ,55.45,57.17,55.16,55.81,45338268.0,3201066026.0
2021-08-06,000333.SZ,55.89,56.73,54.33,56.17,34481766.0,2410493994.0
2021-08-09,000333.SZ,55.57,58.68,55.39,57.86,51361921.0,3711851356.0
2021-08-10,000333.SZ,57.57,58.16,56.55,58.16,32371545.0,2326129709.0
2021-08-11,000333.SZ,57.76,58.72,57.38,57.43,28560714.0,2073013761.0
2021-08-12,000333.SZ,57.09,57.86,56.37,56.62,30539265.0,2176736609.0
2021-08-13,000333.SZ,56.62,57.47,55.73,57.17,30301304.0,2153012742.0
2021-08-16,000333.SZ,57.17,60.24,57.05,59.87,66305582.0,4925830245.0
2021-08-17,000333.SZ,59.87,60.28,58.37,58.6,41410311.0,3078533154.0
2021-08-18,000333.SZ,58.6,59.88,58.05,59.48,32617317.0,2419424671.0
2021-08-19,000333.SZ,59.85,60.1,57.38,57.44,32866221.0,2403024431.0
2021-08-20,000333.SZ,56.68,57.88,55.72,57.49,30129822.0,2143875730.0
2021-08-23,000333.SZ,57.25,57.93,55.99,56.38,24216401.0,1715542962.0
2021-08-24,000333.SZ,56.05,56.81,54.44,56.29,38744022.0,2700934790.0
2021-08-25,000333.SZ,55.97,56.45,55.09,55.21,25351879.0,1761336903.0
2021-08-26,000333.SZ,55.2,55.61,53.9,54.24,30560914.0,2082846696.0
2021-08-27,000333.SZ,54.24,55.07,53.8,54.13,24556080.0,1670326403.0
2021-08-30,000333.SZ,54.25,54.38,52.14,52.68,45344420.0,2990768859.0
2021-08-31,000333.SZ,52.62,54.2,52.1,52.7,31964102.0,2120020157.0
2021-09-01,000333.SZ,53.1,55.77,52.04,55.21,54120472.0,3688604134.0
2021-09-02,000333.SZ,55.55,55.55,54.17,55.24,42761283.0,2930294690.0
2021-09-03,000333.SZ,55.07,55.99,54.45,55.92,28680784.0,1995822443.0
2021-09-06,000333.SZ,55.99,58.48,55.98,57.58,39610616.0,2853865986.0
2021-09-07,000333.SZ,58.05,59.03,57.33,58.3,38937022.0,2852011278.0
2021-09-08,000333.SZ,58.28,58.8,57.65,58.06,26682359.0,1945966050.0
2021-09-09,000333.SZ,58.06,58.56,56.87,57.5,22350846.0,1611240094.0
2021-09-10,000333.SZ,57.5,58.28,56.77,57.81,21079581.0,1520883789.0
2021-09-13,000333.SZ,57.74,58.04,56.47,56.67,21293772.0,1519720224.0
2021-09-14,000333.SZ,56.69,57.01,54.46,54.64,30703335.0,2132022305.0
2021-09-15,000333.SZ,54.3,54.63,52.54,53.11,39630658.0,2652852006.0
2021-09-16,000333.SZ,53.11,53.64,52.54,52.66,29466222.0,1952956774.0
2021-09-17,000333.SZ,52.98,54.52,52.77,54.5,26097737.0,1757915166.0
2021-09-22,000333.SZ,53.49,53.73,52.6,52.76,23967787.0,1589166507.0
2021-09-23,000333.SZ,53.3,53.57,52.7,53.33,19943038.0,1327533719.0
2021-09-24,000333.SZ,53.09,54.45,52.77,53.65,27372409.0,1841748628.0
2021-09-27,000333.SZ,53.65,56.2,53.31,54.85,33266460.0,2292141631.0
2021-09-28,000333.SZ,54.35,56.29,53.74,56.1,34751438.0,2424145960.0
2021-09-29,000333.SZ,55.85,56.61,55.31,56.1,29530820.0,2075477391.0
2021-09-30,000333.SZ,56.1,56.79,55.49,55.57,21879116.0,1537243045.0
2021-10-08,000333.SZ,56.05,57.95,55.69,57.89,41613373.0,2987690472.0
2021-10-11,000333.SZ,58.05,58.36,56.75,56.75,23449247.0,1683573325.0
2021-10-12,000333.SZ,56.78,57.95,55.95,57.18,21599019.0,1548732744.0
2021-10-13,000333.SZ,57.49,57.66,56.09,56.69,16055890.0,1139319628.0
2021-10-14,000333.SZ,56.71,57.18,55.61,55.99,16233358.0,1143450650.0
2021-10-15,000333.SZ,56.69,57.31,56.18,56.69,20425107.0,1447693569.0
2021-10-18,000333.SZ,56.69,56.69,55.09,55.59,21901873.0,1524555400.0
2021-10-19,000333.SZ,55.34,56.26,55.13,55.79,18104497.0,1265164860.0
2021-10-20,000333.SZ,55.89,56.29,54.31,54.35,30276609.0,2074541250.0
2021-10-21,000333.SZ,54.52,55.72,54.32,55.63,20597302.0,1416973727.0
2021-10-22,000333.SZ,55.87,59.88,55.85,59.48,81947936.0,6030294051.0
2021-10-25,000333.SZ,59.07,59.32,57.17,57.81,43058106.0,3124400474.0
2021-10-26,000333.SZ,57.29,57.47,55.91,55.91,39644810.0,2798221885.0
2021-10-27,000333.SZ,55.14,55.45,53.49,53.49,67849700.0,4597497865.0
2021-10-28,000333.SZ,53.09,54.57,52.73,54.39,27797860.0,1876958743.0
2021-10-29,000333.SZ,53.84,55.49,53.73,54.91,28202116.0,1933712607.0
2021-11-01,000333.SZ,56.9,59.02,56.41,58.13,74811069.0,5437920546.0
2021-11-02,000333.SZ,58.13,58.6,56.19,56.54,33979598.0,2430850402.0
2021-11-03,000333.SZ,55.91,57.09,55.35,55.35,22136290.0,1550205588.0
2021-11-04,000333.SZ,55.89,56.88,55.48,56.46,23674066.0,1667235035.0
2021-11-05,000333.SZ,56.14,57.33,55.72,56.49,18630632.0,1321929414.0
2021-11-08,000333.SZ,56.39,56.66,55.73,56.24,14960996.0,1051451982.0
2021-11-09,000333.SZ,56.17,56.17,54.59,55.09,22767037.0,1571550505.0
2021-11-10,000333.SZ,54.84,55.73,54.31,55.55,23735791.0,1632341272.0
2021-11-11,000333.SZ,55.24,57.77,55.01,57.52,36332028.0,2604623041.0
2021-11-12,000333.SZ,57.39,58.99,57.17,57.62,26614392.0,1929374935.0
2021-11-15,000333.SZ,57.49,58.28,57.09,57.87,21497317.0,1553116115.0
2021-11-16,000333.SZ,58.28,58.68,57.8,58.07,21140190.0,1540309641.0
2021-11-17,000333.SZ,57.69,58.44,57.1,57.57,14390330.0,1039576298.0
2021-11-18,000333.SZ,57.35,57.36,55.87,56.06,19413431.0,1370784034.0
2021-11-19,000333.SZ,56.06,56.29,55.34,55.89,25102995.0,1750975581.0
2021-11-22,000333.SZ,55.67,56.11,55.49,55.85,22966239.0,1602179694.0
2021-11-23,000333.SZ,55.84,55.84,55.11,55.47,22415718.0,1554230542.0
2021-11-24,000333.SZ,56.01,56.18,55.11,56.01,25270993.0,1761908033.0
2021-11-25,000333.SZ,55.89,55.89,55.15,55.2,18110345.0,1254877493.0
2021-11-26,000333.SZ,55.09,55.45,54.76,54.94,14048378.0,969361340.0
2021-11-29,000333.SZ,54.28,54.76,54.07,54.43,20002100.0,1361366066.0
2021-11-30,000333.SZ,54.18,55.21,54.03,54.12,19543671.0,1332560745.0
2021-12-01,000333.SZ,54.03,54.45,53.65,54.42,18010101.0,1220013295.0
2021-12-02,000333.SZ,53.8,54.27,53.58,54.08,17292840.0,1169569318.0
2021-12-03,000333.SZ,54.06,54.06,53.24,53.62,21709179.0,1455435330.0
2021-12-06,000333.SZ,53.62,54.92,53.58,54.75,28156018.0,1927815523.0
2021-12-07,000333.SZ,55.17,56.21,55.17,56.07,45996100.0,3221759579.0
2021-12-08,000333.SZ,56.2,56.25,55.09,55.88,24448618.0,1705575367.0
2021-12-09,000333.SZ,57.09,58.08,56.59,57.66,58720574.0,4231464731.0
2021-12-10,000333.SZ,57.21,57.81,56.45,57.41,29774271.0,2133466230.0
2021-12-13,000333.SZ,58.08,60.1,57.9,58.24,54392976.0,4021351649.0
2021-12-14,000333.SZ,57.69,57.87,56.73,56.73,25330123.0,1813446503.0
2021-12-15,000333.SZ,56.68,57.02,56.03,56.17,16566927.0,1169764121.0
2021-12-16,000333.SZ,56.25,56.59,55.75,56.21,15360353.0,1077897222.0
2021-12-17,000333.SZ,55.96,56.1,54.85,54.85,20467841.0,1419353358.0
2021-12-20,000333.SZ,55.0,56.16,54.94,55.59,20657979.0,1440391946.0
2021-12-21,000333.SZ,55.58,57.59,55.49,57.21,31759660.0,2268444040.0
2021-12-22,000333.SZ,57.05,57.41,55.91,57.11,22483108.0,1595253318.0
2021-12-23,000333.SZ,56.76,58.18,56.69,57.38,19654181.0,1412656991.0
2021-12-24,000333.SZ,56.95,57.69,56.55,57.61,16377482.0,1174612544.0
2021-12-27,000333.SZ,57.65,59.08,57.41,58.32,27562336.0,2020201844.0
2021-12-28,000333.SZ,58.32,60.25,58.32,60.03,51272047.0,3839791458.0
2021-12-29,000333.SZ,59.88,60.32,58.88,59.09,21584258.0,1603790663.0
2021-12-30,000333.SZ,59.08,59.48,58.43,59.05,21829008.0,1615514268.0
2021-12-31,000333.SZ,59.0,59.43,58.11,58.93,21673393.0,1593276845.0
2022-01-04,000333.SZ,59.08,60.28,58.76,60.17,31040801.0,2323005429.0
2022-01-05,000333.SZ,60.2,63.74,59.67,60.9,61369922.0,4743653586.0
2022-01-06,000333.SZ,60.53,62.43,59.72,59.87,34188949.0,2599839612.0
2022-01-07,000333.SZ,60.26,62.66,59.89,62.1,43722085.0,3393184313.0
2022-01-10,000333.SZ,62.44,64.58,61.48,62.12,35252163.0,2760629556.0
2022-01-11,000333.SZ,61.49,62.93,60.28,60.36,33694529.0,2592315667.0
2022-01-12,000333.SZ,60.75,60.94,58.31,59.31,38464129.0,2852050498.0
2022-01-13,000333.SZ,59.55,60.17,57.65,57.74,26732585.0,1957650625.0
2022-01-14,000333.SZ,57.57,58.16,57.01,57.49,20996990.0,1516106943.0
2022-01-17,000333.SZ,57.57,58.64,57.26,58.31,20381136.0,1481637501.0
