trade_date,trade_symbol,open,high,low,close,vwap,volume,amount,benchmark_open,benchmark_close
2021-07-19,300750.SZ,278.04,278.9,265.68,269.54,270.8261912866276,18012945.0,9474773727.0,5083.728,5113.495
2021-07-20,300750.SZ,265.17,277.66,265.17,271.88,272.0538112534644,13000547.0,6869197469.0,5080.216,5108.994
2021-07-21,300750.SZ,272.9,286.32,270.84,286.16,279.39209279387944,18204911.0,9878628607.0,5122.784,5144.043
2021-07-22,300750.SZ,286.59,290.24,280.97,286.83,285.14697037610284,10883599.0,6027459317.0,5150.386,5151.752
2021-07-23,300750.SZ,285.76,290.39,281.13,281.65,284.5313256468111,9332873.0,5157401635.0,5145.431,5089.228
2021-07-26,300750.SZ,280.1,284.7,269.03,277.93,277.18056824550183,12728980.0,6852321741.0,5067.307,4925.299
2021-07-27,300750.SZ,279.59,287.92,254.87,254.87,271.7634463737061,17846033.0,9419312665.0,4924.282,4751.313
2021-07-28,300750.SZ,255.38,274.59,255.38,270.34,265.95760105594485,21724743.0,11221667797.0,4714.295,4760.483
2021-07-29,300750.SZ,281.13,287.17,272.38,286.69,281.1584772092642,18620249.0,10167714631.0,4845.76,4850.275
2021-07-30,300750.SZ,290.91,299.77,278.04,283.39,289.13597856791176,20181013.0,11332846399.0,4825.7,4811.17
2021-08-02,300750.SZ,286.79,296.05,274.37,284.22,285.1130066347927,18297279.0,10131832068.0,4794.819,4933.736
2021-08-03,300750.SZ,285.76,286.28,269.29,273.4,274.9377864739321,12238308.0,6535093740.0,4909.233,4934.458
2021-08-04,300750.SZ,274.95,294.0,270.32,292.97,285.4634100896343,17400431.0,9647161978.0,4927.736,4978.848
2021-08-05,300750.SZ,291.43,291.43,281.4,286.79,285.5399398910422,12979233.0,7197921133.0,4946.167,4948.67
2021-08-06,300750.SZ,290.8,291.94,277.52,280.04,283.6998924836697,14371245.0,7918384464.0,4943.043,4921.565
2021-08-09,300750.SZ,273.92,274.18,258.98,265.68,264.1657794387403,18583111.0,9534234240.0,4890.257,4985.563
2021-08-10,300750.SZ,263.11,267.32,256.93,262.85,261.57193340775444,18016853.0,9152881563.0,4977.816,5043.148
2021-08-11,300750.SZ,262.59,269.29,259.96,266.33,265.32431153727003,11236434.0,5790098627.0,5037.082,5015.341
2021-08-12,300750.SZ,263.63,264.13,254.35,258.47,258.678698313263,17116184.0,8599262131.0,4998.073,4973.351
2021-08-13,300750.SZ,247.15,272.84,247.15,258.5,261.5777287948023,27725763.0,14085448989.0,4958.758,4945.983
2021-08-16,300750.SZ,254.35,259.45,241.93,245.6,248.063815197202,22043980.0,10620462840.0,4935.923,4941.068
2021-08-17,300750.SZ,249.72,254.77,245.72,247.15,250.2168493433906,15610638.0,7586087134.0,4935.004,4837.403
2021-08-18,300750.SZ,250.51,258.94,245.81,254.87,253.6746292411134,15957481.0,7861906061.0,4838.471,4894.238
2021-08-19,300750.SZ,258.47,262.45,249.21,258.99,257.0354734781917,14453518.0,7215253955.0,4886.564,4862.139
2021-08-20,300750.SZ,256.93,257.03,248.43,254.41,253.2042532051641,12527606.0,6160678538.0,4817.494,4769.268
2021-08-23,300750.SZ,260.02,269.4,258.48,268.72,265.30503896704647,16224431.0,8359923041.0,4777.735,4835.878
2021-08-24,300750.SZ,265.89,278.09,265.23,269.29,271.15237763196814,13313712.0,7011227150.0,4844.593,4888.39
2021-08-25,300750.SZ,269.8,274.02,263.21,273.01,268.17449973272153,9530347.0,4963866861.0,4890.521,4898.157
2021-08-26,300750.SZ,278.03,287.79,268.2,268.26,274.3664140419653,16798255.0,8951110527.0,4892.204,4801.609
2021-08-27,300750.SZ,267.74,269.8,258.47,261.3,262.5974775933137,11958157.0,6098898953.0,4794.974,4827.043
2021-08-30,300750.SZ,261.28,270.73,256.86,260.14,263.32747284117,15714333.0,8036791727.0,4847.035,4813.27
2021-08-31,300750.SZ,263.59,263.59,250.16,254.8,254.2286389009128,14762087.0,7288932627.0,4803.085,4805.61
2021-09-01,300750.SZ,253.32,254.35,242.77,251.63,249.42238050283785,14462675.0,7006043910.0,4804.686,4869.459
2021-09-02,300750.SZ,253.32,255.44,250.12,254.1,253.18799075561864,11464887.0,5637614466.0,4865.822,4869.411
2021-09-03,300750.SZ,256.41,259.44,247.6,250.49,252.0689087512502,11282023.0,5523301032.0,4875.066,4843.062
2021-09-06,300750.SZ,253.84,266.71,248.69,265.73,260.0707196395444,14791957.0,7471544142.0,4841.062,4933.726
2021-09-07,300750.SZ,265.17,271.17,262.59,264.66,265.93505222911966,9422232.0,4866454172.0,4932.976,4992.829
2021-09-08,300750.SZ,267.23,269.58,257.44,258.99,262.2488188813317,9739395.0,4960557752.0,4986.795,4972.132
2021-09-09,300750.SZ,262.33,267.22,252.71,261.15,259.0209559094362,11016209.0,5541869353.0,4952.492,4970.013
2021-09-10,300750.SZ,254.07,259.39,252.64,258.52,256.38158933132064,11296936.0,5625272662.0,4967.976,5013.522
2021-09-13,300750.SZ,258.52,263.67,255.38,258.89,258.27782532746477,8968966.0,4498932655.0,5006.775,4991.66
2021-09-14,300750.SZ,261.11,278.55,258.95,272.84,271.8730688713257,23383657.0,12347086769.0,4989.835,4917.162
2021-09-15,300750.SZ,272.89,273.91,263.52,270.5,268.20606113541857,10501454.0,5470153201.0,4903.847,4867.319
2021-09-16,300750.SZ,269.29,269.29,256.41,256.41,261.21872660901914,11260408.0,5712849969.0,4866.794,4807.698
2021-09-17,300750.SZ,255.9,262.08,253.39,258.99,257.32959547731514,8193837.0,4095076762.0,4797.113,4855.94
2021-09-22,300750.SZ,254.66,257.96,251.32,254.0,254.16056302057123,6423920.0,3170987210.0,4770.732,4821.768
2021-09-23,300750.SZ,259.95,259.95,253.22,253.83,255.48792779015915,7971421.0,3955499104.0,4848.222,4853.196
2021-09-24,300750.SZ,254.8,263.88,252.55,257.43,258.66288302748205,10262492.0,5155614316.0,4845.638,4849.428
2021-09-27,300750.SZ,260.02,267.64,257.34,264.39,264.30403120586385,14496264.0,7441411135.0,4870.848,4877.37
2021-09-28,300750.SZ,263.62,266.69,256.52,257.66,261.393419174153,9222505.0,4682091359.0,4869.085,4883.828
2021-09-29,300750.SZ,255.38,263.52,254.35,258.74,259.7189293368281,9395464.0,4739177463.0,4846.021,4833.928
2021-09-30,300750.SZ,260.02,274.18,258.48,270.69,267.91099226485653,16714235.0,8696962248.0,4843.953,4866.383
2021-10-08,300750.SZ,274.95,283.22,269.23,274.95,276.0375998499828,12516925.0,6710477516.0,4915.731,4929.941
2021-10-11,300750.SZ,275.46,276.8,266.74,268.26,270.3984673841006,7830888.0,4112416011.0,4941.292,4936.192
2021-10-12,300750.SZ,268.55,269.09,256.87,260.02,261.965328146085,9590683.0,4879529812.0,4920.66,4883.837
2021-10-13,300750.SZ,260.02,269.03,259.5,268.9,265.7952548774822,7652244.0,3950317431.0,4880.144,4940.109
2021-10-14,300750.SZ,270.32,275.4,270.32,274.07,273.2170604770745,7841554.0,4161069009.0,4934.258,4913.612
2021-10-15,300750.SZ,273.92,298.05,271.91,292.97,287.6627054703465,22951299.0,12822713735.0,4896.558,4932.108
2021-10-18,300750.SZ,299.15,306.48,293.49,306.37,301.5260185338493,18670216.0,10933506378.0,4922.514,4874.775
2021-10-19,300750.SZ,310.99,316.65,301.21,304.09,306.767875700613,15088955.0,8990013550.0,4869.391,4922.723
2021-10-20,300750.SZ,306.36,315.82,302.24,303.53,307.4707938651344,12466583.0,7444464950.0,4926.773,4910.185
2021-10-21,300750.SZ,303.78,308.42,298.63,306.87,305.0248107724284,10142297.0,6008461971.0,4914.738,4928.016
2021-10-22,300750.SZ,312.01,312.01,303.95,309.65,308.9072747226097,11021603.0,6612493209.0,4934.87,4959.725
2021-10-25,300750.SZ,315.11,321.89,310.65,314.48,316.4731055564617,14052090.0,8636989622.0,4940.896,4979.524
2021-10-26,300750.SZ,327.34,328.74,306.84,307.9,315.15048364177125,14827692.0,9075608785.0,4983.238,4963.098
2021-10-27,300750.SZ,307.9,316.68,305.42,316.68,311.3154604228508,13548574.0,8191755890.0,4949.227,4898.164
2021-10-28,300750.SZ,321.8,326.95,310.44,312.64,317.28929380872165,17282868.0,10650216883.0,4882.586,4864.138
2021-10-29,300750.SZ,316.8,332.35,308.39,329.13,322.31783489358054,20268702.0,12687999698.0,4861.267,4908.77
2021-11-01,300750.SZ,330.04,349.61,324.96,334.68,336.67057812584875,22179659.0,14502525104.0,4878.128,4890.685
2021-11-02,300750.SZ,337.25,342.79,333.65,338.8,338.15087850282146,13140789.0,8630072694.0,4886.185,4839.846
2021-11-03,300750.SZ,335.19,337.78,323.35,329.53,329.4635704853828,12760630.0,8165156865.0,4835.809,4821.112
2021-11-04,300750.SZ,333.65,337.25,327.49,333.05,333.05956498955976,9201009.0,5951843600.0,4841.091,4868.742
2021-11-05,300750.SZ,329.01,334.56,326.43,326.48,328.9129300912982,8555085.0,5465118685.0,4858.9,4842.346
2021-11-08,300750.SZ,327.98,342.39,324.89,340.24,336.8438786000047,12269565.0,8026800882.0,4841.153,4848.18
2021-11-09,300750.SZ,343.81,343.94,336.29,341.51,340.43460201879464,6674583.0,4413176640.0,4858.253,4846.744
2021-11-10,300750.SZ,335.26,338.01,326.95,333.65,332.083939275554,12739826.0,8216658652.0,4832.801,4821.193
2021-11-11,300750.SZ,335.19,342.47,334.73,337.69,338.9043778104547,7701413.0,5069135677.0,4814.766,4898.653
2021-11-12,300750.SZ,338.28,340.78,326.4,330.04,329.6786543596044,11420150.0,7312301472.0,4902.929,4888.375
2021-11-15,300750.SZ,330.04,330.04,313.03,319.23,319.21960146772085,14007599.0,8684428486.0,4894.412,4882.378
2021-11-16,300750.SZ,319.23,321.87,312.54,316.64,317.59847302062155,8433513.0,5202056655.0,4880.896,4883.321
2021-11-17,300750.SZ,320.77,324.6,317.97,322.26,321.48535822385435,7561643.0,4721304802.0,4883.248,4885.754
