trade_date,trade_symbol,open,high,low,close,volume,amount
2021-07-19,600030.SH,19.55,19.67,19.31,19.64,65180561.0,1536306775.0
2021-07-20,600030.SH,19.45,19.68,19.41,19.49,45967742.0,1085840749.0
2021-07-21,600030.SH,19.55,19.83,19.52,19.66,84450681.0,2013428701.0
2021-07-22,600030.SH,19.62,20.01,19.55,19.92,101471856.0,2441415802.0
2021-07-23,600030.SH,19.88,20.5,19.69,20.01,140422333.0,3413292957.0
2021-07-26,600030.SH,19.98,20.12,19.35,19.4,123681267.0,2949757785.0
2021-07-27,600030.SH,19.4,19.53,18.84,18.91,101892586.0,2368717730.0
2021-07-28,600030.SH,18.9,19.17,18.87,18.88,82213193.0,1889236200.0
2021-07-29,600030.SH,19.22,19.25,18.88,19.0,85800342.0,1979421197.0
2021-07-30,600030.SH,18.93,18.96,18.55,18.65,89686085.0,2032185292.0
2021-08-02,600030.SH,18.64,19.56,18.22,19.21,147751759.0,3392800772.0
2021-08-03,600030.SH,19.07,19.64,18.98,19.26,112313014.0,2620644794.0
2021-08-04,600030.SH,19.25,19.31,19.08,19.2,69389557.0,1612431665.0
2021-08-05,600030.SH,19.1,19.31,18.83,18.88,77863492.0,1794024580.0
2021-08-06,600030.SH,18.98,19.17,18.9,19.05,60133417.0,1386423868.0
2021-08-09,600030.SH,18.98,19.64,18.95,19.41,112829321.0,2655103100.0
2021-08-10,600030.SH,19.33,19.68,19.19,19.62,108177014.0,2549716976.0
2021-08-11,600030.SH,19.59,19.88,19.48,19.56,101874079.0,2428059535.0
2021-08-12,600030.SH,19.61,19.85,19.5,19.59,72611386.0,1727545062.0
2021-08-13,600030.SH,19.55,19.93,19.49,19.89,110272444.0,2641504162.0
2021-08-16,600030.SH,19.91,20.22,19.74,19.82,121335413.0,2939197476.0
2021-08-17,600030.SH,19.71,20.34,19.66,19.74,183934860.0,4468568717.0
2021-08-18,600030.SH,19.78,20.96,19.73,20.84,316218764.0,7855653035.0
2021-08-19,600030.SH,20.69,20.91,20.22,20.34,198178309.0,4914386696.0
2021-08-20,600030.SH,20.42,20.55,20.05,20.34,136330033.0,3302682015.0
2021-08-23,600030.SH,20.46,20.75,20.35,20.5,116459641.0,2848711691.0
2021-08-24,600030.SH,20.61,21.27,20.47,21.09,220882177.0,5515599058.0
2021-08-25,600030.SH,21.03,21.37,20.87,20.91,135368551.0,3396550359.0
2021-08-26,600030.SH,20.82,20.98,20.61,20.62,104462404.0,2584003710.0
2021-08-27,600030.SH,20.68,21.13,20.64,20.75,103832997.0,2578768899.0
2021-08-30,600030.SH,21.1,21.21,20.37,20.42,138613143.0,3418390264.0
2021-08-31,600030.SH,20.35,21.92,20.3,21.55,306285509.0,7787736124.0
2021-09-01,600030.SH,21.56,23.16,21.45,22.56,437522304.0,11646798443.0
2021-09-02,600030.SH,22.49,22.82,22.28,22.73,260435655.0,7004440992.0
2021-09-03,600030.SH,23.58,23.69,22.22,22.31,282581190.0,7711825432.0
2021-09-06,600030.SH,22.33,22.98,22.33,22.5,180082562.0,4861495805.0
2021-09-07,600030.SH,22.5,22.97,22.07,22.78,209608191.0,5642029407.0
2021-09-08,600030.SH,22.65,23.18,22.54,22.57,156658662.0,4251631335.0
2021-09-09,600030.SH,22.33,22.54,22.12,22.43,119915271.0,3193017867.0
2021-09-10,600030.SH,22.49,23.48,22.49,22.88,215249192.0,5887666065.0
2021-09-13,600030.SH,22.86,23.15,22.7,22.81,121574166.0,3316633770.0
2021-09-14,600030.SH,22.86,23.0,22.08,22.22,160229628.0,4290873196.0
2021-09-15,600030.SH,22.17,22.35,21.82,22.02,108905216.0,2857648545.0
2021-09-16,600030.SH,22.05,22.09,21.24,21.38,134773468.0,3487369505.0
2021-09-17,600030.SH,21.39,21.9,21.39,21.77,107762295.0,2781670928.0
2021-09-22,600030.SH,21.4,21.79,21.23,21.55,89572723.0,2290076453.0
2021-09-23,600030.SH,21.66,22.06,21.61,21.98,104000718.0,2711282463.0
2021-09-24,600030.SH,22.03,22.19,21.82,21.85,81694657.0,2140439502.0
2021-09-27,600030.SH,21.83,22.02,21.29,21.52,95222937.0,2458101849.0
2021-09-28,600030.SH,21.48,21.86,21.4,21.7,71104682.0,1836158848.0
2021-09-29,600030.SH,21.49,21.65,21.11,21.49,94426335.0,2408742004.0
2021-09-30,600030.SH,21.52,21.62,21.03,21.21,83429037.0,2112289889.0
2021-10-08,600030.SH,21.31,21.69,21.31,21.6,75130570.0,1928003141.0
2021-10-11,600030.SH,21.69,21.93,21.52,21.53,58934508.0,1525344367.0
2021-10-12,600030.SH,21.39,21.52,20.6,20.86,112569024.0,2814644340.0
2021-10-13,600030.SH,20.84,21.03,20.71,20.73,60036326.0,1491566055.0
2021-10-14,600030.SH,20.81,20.85,20.48,20.77,49316357.0,1215383760.0
2021-10-15,600030.SH,20.72,21.08,20.64,20.94,62077888.0,1547360032.0
2021-10-18,600030.SH,20.94,21.15,20.81,20.96,48679776.0,1214138617.0
2021-10-19,600030.SH,20.89,21.16,20.86,21.02,51162748.0,1281873537.0
2021-10-20,600030.SH,21.13,21.17,20.96,20.98,50328726.0,1261270363.0
2021-10-21,600030.SH,20.98,21.3,20.87,21.11,63257028.0,1591270026.0
2021-10-22,600030.SH,21.14,21.45,21.08,21.36,69222132.0,1754717788.0
2021-10-25,600030.SH,21.36,21.59,21.13,21.52,80874465.0,2058553023.0
2021-10-26,600030.SH,21.52,21.57,21.19,21.19,60900289.0,1550328524.0
2021-10-27,600030.SH,21.05,21.19,20.61,20.7,80214794.0,1994918674.0
2021-10-28,600030.SH,20.65,21.03,20.62,20.77,64838831.0,1610473942.0
2021-10-29,600030.SH,20.98,21.93,20.82,21.71,164183024.0,4208839254.0
2021-11-01,600030.SH,21.65,21.9,21.59,21.8,97959391.0,2540040719.0
2021-11-02,600030.SH,21.73,21.89,21.19,21.42,89883688.0,2300876823.0
2021-11-03,600030.SH,21.39,21.53,21.19,21.3,57029540.0,1449182234.0
2021-11-04,600030.SH,21.48,21.61,21.23,21.34,63036712.0,1605802620.0
2021-11-05,600030.SH,21.23,21.54,21.17,21.28,54523818.0,1386543786.0
2021-11-08,600030.SH,21.2,21.55,20.99,21.36,56821193.0,1441756439.0
2021-11-09,600030.SH,21.42,21.5,21.19,21.46,56357529.0,1435080522.0
2021-11-10,600030.SH,21.39,21.45,20.78,20.98,105743048.0,2649688785.0
2021-11-11,600030.SH,20.89,21.76,20.89,21.6,145557939.0,3719322568.0
2021-11-12,600030.SH,21.55,21.55,21.04,21.26,108859945.0,2756837665.0
2021-11-15,600030.SH,21.29,21.39,21.02,21.16,64213673.0,1619936939.0
2021-11-16,600030.SH,21.03,21.1,20.09,20.14,228149064.0,5565688292.0
2021-11-17,600030.SH,20.06,20.25,20.02,20.17,67813735.0,1628413109.0
2021-11-18,600030.SH,20.14,20.27,19.88,20.2,78501160.0,1878985477.0
2021-11-19,600030.SH,20.14,20.51,20.08,20.39,79663696.0,1928681033.0
2021-11-22,600030.SH,20.37,20.57,20.34,20.38,69691326.0,1699313815.0
2021-11-23,600030.SH,20.37,20.56,20.3,20.31,64603990.0,1572556787.0
2021-11-24,600030.SH,20.3,20.41,20.18,20.3,51681849.0,1248099643.0
2021-11-25,600030.SH,20.26,20.34,20.15,20.21,45110508.0,1086929612.0
2021-11-26,600030.SH,20.16,20.2,20.06,20.07,47073822.0,1128056855.0
2021-11-29,600030.SH,19.88,19.98,19.82,19.97,63221801.0,1499468699.0
2021-11-30,600030.SH,20.09,20.13,19.9,19.94,61879933.0,1476947411.0
2021-12-01,600030.SH,19.88,20.38,19.84,20.33,84245897.0,2034164816.0
2021-12-02,600030.SH,20.3,20.6,20.22,20.47,73973221.0,1803837004.0
2021-12-03,600030.SH,20.56,20.89,20.51,20.79,104571887.0,2584044237.0
2021-12-06,600030.SH,20.98,22.23,20.98,21.74,316417033.0,8215428684.0
2021-12-07,600030.SH,21.98,22.23,21.82,21.94,183699377.0,4821063398.0
2021-12-08,600030.SH,22.11,22.33,21.86,22.23,141808680.0,3737147807.0
2021-12-09,600030.SH,22.15,22.85,22.11,22.55,189588187.0,5090108069.0
2021-12-10,600030.SH,22.29,22.34,22.02,22.18,121397597.0,3207991786.0
2021-12-13,600030.SH,22.65,22.88,22.37,22.38,154817858.0,4166017710.0
2021-12-14,600030.SH,22.23,22.35,21.99,22.08,91013687.0,2401177775.0
2021-12-15,600030.SH,22.21,22.45,22.07,22.15,67840263.0,1798785313.0
2021-12-16,600030.SH,22.19,22.47,22.14,22.36,59021070.0,1569049267.0
2021-12-17,600030.SH,22.44,22.5,22.04,22.06,66580324.0,1764408204.0
2021-12-20,600030.SH,22.07,22.23,21.65,21.71,74911893.0,1952963391.0
2021-12-21,600030.SH,21.67,22.05,21.67,21.91,53078849.0,1385647973.0
2021-12-22,600030.SH,21.91,22.01,21.71,21.71,39866680.0,1035741773.0
2021-12-23,600030.SH,21.74,21.86,21.58,21.76,44802878.0,1158008777.0
2021-12-24,600030.SH,21.75,21.98,21.55,21.55,49996091.0,1293655211.0
2021-12-27,600030.SH,21.65,21.86,21.51,21.81,45189583.0,1171037662.0
2021-12-28,600030.SH,21.9,22.05,21.68,21.86,54914212.0,1430073410.0
2021-12-29,600030.SH,21.92,21.92,21.67,21.71,48599317.0,1262206536.0
2021-12-30,600030.SH,21.69,22.33,21.69,22.12,78134617.0,2057978148.0
2021-12-31,600030.SH,22.2,22.39,22.14,22.16,67051136.0,1778955655.0
2022-01-04,600030.SH,22.16,22.31,21.87,22.18,60626175.0,1595586728.0
2022-01-05,600030.SH,22.07,22.18,21.57,21.76,98236320.0,2556421423.0
2022-01-06,600030.SH,21.66,21.83,21.29,21.33,89895862.0,2296422305.0
2022-01-07,600030.SH,21.43,21.8,21.39,21.58,57216655.0,1472192683.0
2022-01-10,600030.SH,21.77,21.89,21.6,21.67,45867051.0,1188399863.0
2022-01-11,600030.SH,21.67,22.18,21.58,21.78,65887859.0,1719747122.0
2022-01-12,600030.SH,21.73,22.01,21.56,21.96,60587666.0,1573836749.0
2022-01-13,600030.SH,22.37,22.52,22.1,22.12,114438216.0,3040495243.0
2022-01-14,600030.SH,21.4,21.65,20.98,21.0,185099533.0,4704172333.0
2022-01-17,600030.SH,20.87,21.9,20.8,21.54,161964314.0,4151338076.0
2022-01-18,600030.SH,21.5,21.84,21.43,21.56,131025343.0,3369833619.0
2022-01-27,600030.SH,22.08,22.16,21.25,21.49,224922039.0,5455226610.0
2022-01-28,600030.SH,21.54,22.57,21.52,21.89,179878654.0,4456353055.0
2022-02-07,600030.SH,22.21,22.6,22.06,22.5,117847182.0,2962016431.0
2022-02-08,600030.SH,22.43,22.63,22.22,22.58,84622762.0,2135107603.0
2022-02-09,600030.SH,22.54,22.62,22.27,22.52,79955449.0,2020199321.0
2022-02-10,600030.SH,22.44,22.61,22.34,22.54,62934537.0,1589715087.0
2022-02-11,600030.SH,22.51,23.29,22.47,22.86,115987512.0,2996549412.0
2022-02-14,600030.SH,22.6,22.76,22.0,22.07,99627731.0,2492266420.0
2022-02-15,600030.SH,21.9,22.03,21.63,21.97,80511183.0,1975261948.0
2022-02-16,600030.SH,22.03,22.18,21.82,21.84,68418174.0,1688144918.0
2022-02-17,600030.SH,21.92,21.98,21.55,21.63,62812713.0,1535516980.0
2022-02-18,600030.SH,21.56,21.98,21.56,21.93,51114941.0,1253203058.0
2022-02-21,600030.SH,22.07,22.11,21.62,21.82,62934157.0,1540352871.0
2022-02-22,600030.SH,21.62,21.67,21.12,21.38,106578687.0,2555568164.0
2022-02-23,600030.SH,21.38,21.59,21.28,21.58,76322818.0,1839487956.0
2022-02-24,600030.SH,21.36,21.38,20.67,20.88,133845636.0,3157525864.0
2022-02-25,600030.SH,21.0,21.14,20.71,20.75,72758608.0,1707564915.0
2022-02-28,600030.SH,20.69,20.81,20.48,20.76,61445364.0,1425287540.0
2022-03-01,600030.SH,20.81,20.88,20.57,20.8,76805831.0,1787849859.0
2022-03-02,600030.SH,20.65,20.73,20.44,20.52,68857750.0,1590911543.0
2022-03-03,600030.SH,20.57,20.67,20.48,20.65,57813871.0,1337785438.0
2022-03-04,600030.SH,20.47,20.49,20.17,20.23,79029058.0,1802673006.0
2022-03-07,600030.SH,20.09,20.09,19.2,19.35,141964499.0,3128219482.0
2022-03-08,600030.SH,19.37,19.47,18.72,18.78,118329068.0,2541319587.0
2022-03-09,600030.SH,18.87,18.94,17.8,18.47,138208606.0,2869523129.0
2022-03-10,600030.SH,18.87,18.94,18.31,18.39,123467455.0,2583539701.0
2022-03-11,600030.SH,18.13,18.77,17.75,18.6,154696788.0,3162146916.0
2022-03-14,600030.SH,18.24,18.62,18.19,18.26,81273814.0,1681293879.0
2022-03-15,600030.SH,18.11,18.38,17.34,17.45,156699377.0,3151440343.0
2022-03-16,600030.SH,17.66,18.84,17.25,18.54,231060591.0,4703705299.0
2022-03-17,600030.SH,18.73,18.98,18.39,18.44,162889429.0,3407112854.0
2022-03-18,600030.SH,18.51,19.09,18.34,19.09,145058017.0,3054310032.0
2022-03-21,600030.SH,18.76,18.79,18.39,18.52,118243508.0,2467372297.0
2022-03-22,600030.SH,18.42,18.74,18.41,18.55,66478956.0,1386652930.0
2022-03-23,600030.SH,18.63,18.64,18.46,18.55,54951473.0,1146055819.0
2022-03-24,600030.SH,18.4,18.59,18.35,18.4,54081859.0,1121941210.0
2022-03-25,600030.SH,18.35,18.54,18.09,18.13,61637117.0,1266244931.0
2022-03-28,600030.SH,17.96,18.33,17.85,18.21,65002636.0,1323383427.0
2022-03-29,600030.SH,18.31,18.35,17.96,18.02,53234744.0,1085804758.0
2022-03-30,600030.SH,18.18,18.83,18.18,18.75,134041292.0,2799762310.0
2022-03-31,600030.SH,18.59,18.71,18.51,18.6,68817480.0,1437739412.0
2022-04-01,600030.SH,18.43,18.96,18.4,18.79,100026755.0,2105149936.0
2022-04-06,600030.SH,18.61,18.81,18.54,18.79,66707020.0,1401218930.0
2022-04-07,600030.SH,18.69,18.85,18.4,18.4,72482520.0,1516140868.0
2022-04-08,600030.SH,18.48,18.79,18.31,18.76,95096452.0,1987247835.0
2022-04-11,600030.SH,18.67,18.69,18.15,18.22,88909651.0,1832635640.0
2022-04-12,600030.SH,18.22,19.04,18.19,18.78,115696931.0,2423728062.0
2022-04-13,600030.SH,18.51,18.74,18.37,18.42,92859147.0,1931557542.0
2022-04-14,600030.SH,18.6,18.87,18.53,18.66,99287343.0,2088214902.0
2022-04-15,600030.SH,18.6,18.78,18.46,18.58,77065140.0,1611278731.0
2022-04-18,600030.SH,18.39,18.39,17.89,18.06,92584262.0,1882755877.0
2022-04-19,600030.SH,18.07,18.17,17.9,17.99,57387434.0,1163116380.0
2022-04-20,600030.SH,17.94,18.04,17.68,17.72,71213321.0,1426214527.0
2022-04-21,600030.SH,17.66,18.01,17.54,17.66,83654466.0,1670154355.0
2022-04-22,600030.SH,17.51,17.82,17.47,17.69,73904089.0,1470291950.0
2022-04-25,600030.SH,17.34,17.75,17.1,17.11,105141543.0,2057375930.0
2022-04-26,600030.SH,17.11,17.18,16.21,16.31,145888606.0,2740075636.0
2022-04-27,600030.SH,16.11,16.9,16.03,16.74,103662752.0,1930097268.0
2022-04-28,600030.SH,16.6,16.77,16.42,16.7,78335859.0,1462246037.0
2022-04-29,600030.SH,17.16,17.69,16.85,17.52,157135792.0,3059354435.0
2022-05-05,600030.SH,17.33,17.5,17.24,17.25,81889220.0,1595800945.0
2022-05-06,600030.SH,16.91,17.05,16.73,16.73,66916313.0,1265980645.0
2022-05-09,600030.SH,16.69,16.81,16.6,16.67,42202096.0,791761664.0
2022-05-10,600030.SH,16.47,17.07,16.45,16.92,69568652.0,1315714502.0
2022-05-11,600030.SH,16.95,17.37,16.87,17.02,97680157.0,1883547827.0
2022-05-12,600030.SH,16.92,17.24,16.89,16.99,53280922.0,1018389172.0
