trade_date,trade_symbol,open,high,low,close,vwap,volume,amount
2021-07-19,601668.SH,3.65,3.65,3.6,3.65,3.6196013865559458,135851764.0,629143978.0
2021-07-20,601668.SH,3.64,3.66,3.61,3.64,3.6324972190009897,118279438.0,548865726.0
2021-07-21,601668.SH,3.64,3.65,3.59,3.6,3.6105055165580917,158371919.0,730636767.0
2021-07-22,601668.SH,3.6,3.64,3.59,3.62,3.623218880955754,115174507.0,533732137.0
2021-07-23,601668.SH,3.62,3.69,3.61,3.66,3.6600174519087987,194897232.0,912123395.0
2021-07-26,601668.SH,3.65,3.67,3.58,3.58,3.6025087865786896,209467063.0,965390995.0
2021-07-27,601668.SH,3.58,3.6,3.51,3.54,3.5452914321188493,255272649.0,1155557070.0
2021-07-28,601668.SH,3.52,3.54,3.49,3.51,3.504664904491999,184253342.0,826040038.0
2021-07-29,601668.SH,3.52,3.54,3.46,3.47,3.4873731396598724,182553540.0,812761136.0
2021-07-30,601668.SH,3.45,3.51,3.43,3.49,3.4817546732672344,144996683.0,645157375.0
2021-08-02,601668.SH,3.48,3.57,3.43,3.54,3.506543772779202,208304193.0,934699944.0
2021-08-03,601668.SH,3.53,3.6,3.52,3.6,3.5820110637937326,216283505.0,989932660.0
2021-08-04,601668.SH,3.58,3.58,3.54,3.56,3.5623943499578266,130589740.0,594582947.0
2021-08-05,601668.SH,3.54,3.61,3.54,3.59,3.5834835687784055,169645081.0,777257508.0
2021-08-06,601668.SH,3.58,3.58,3.54,3.56,3.558595876134635,104286701.0,474317337.0
2021-08-09,601668.SH,3.55,3.66,3.54,3.64,3.630730505438353,220239811.0,1021507146.0
2021-08-10,601668.SH,3.62,3.64,3.6,3.64,3.6193475415129313,119670052.0,553308493.0
2021-08-11,601668.SH,3.64,3.77,3.64,3.69,3.7166826421105137,360313245.0,1709347052.0
2021-08-12,601668.SH,3.67,3.69,3.65,3.67,3.6680898926004715,106599777.0,499692746.0
2021-08-13,601668.SH,3.66,3.67,3.61,3.62,3.6336362418075434,122495137.0,569288901.0
2021-08-16,601668.SH,3.61,3.72,3.61,3.68,3.679763423473089,164548416.0,773327837.0
2021-08-17,601668.SH,3.68,3.74,3.61,3.64,3.685484803064233,284552777.0,1339704519.0
2021-08-18,601668.SH,3.64,3.72,3.62,3.72,3.6873755909099257,278905063.0,1315945149.0
2021-08-19,601668.SH,3.74,3.74,3.66,3.68,3.696045068865873,191527544.0,904104305.0
2021-08-20,601668.SH,3.69,3.69,3.62,3.65,3.645649886836187,139725155.0,651738797.0
2021-08-23,601668.SH,3.66,3.67,3.62,3.62,3.6347856482912246,125342935.0,582708140.0
2021-08-24,601668.SH,3.62,3.64,3.59,3.61,3.6120361091994937,135792061.0,626354478.0
2021-08-25,601668.SH,3.61,3.65,3.58,3.63,3.612966477532315,160803207.0,742625732.0
2021-08-26,601668.SH,3.62,3.65,3.61,3.62,3.624880838726823,145801105.0,675969297.0
2021-08-27,601668.SH,3.62,3.71,3.61,3.7,3.6644245748154534,262408012.0,1229255881.0
2021-08-30,601668.SH,3.72,3.73,3.66,3.67,3.6868100463524573,206480580.0,972829546.0
2021-08-31,601668.SH,3.67,3.76,3.67,3.76,3.729420800507732,307580806.0,1464380752.0
2021-09-01,601668.SH,3.78,4.05,3.77,4.01,3.9582567913900344,1045357179.0,5283166041.0
2021-09-02,601668.SH,3.99,4.1,3.96,4.06,4.035369098419115,793355907.0,4092537315.0
2021-09-03,601668.SH,4.04,4.09,3.96,3.97,4.0089543145497775,487596783.0,2496372509.0
2021-09-06,601668.SH,3.98,4.12,3.98,4.03,4.053879403515516,542982131.0,2812927543.0
2021-09-07,601668.SH,4.02,4.09,4.0,4.07,4.055955676409809,407283529.0,2110566215.0
2021-09-08,601668.SH,4.07,4.13,4.05,4.09,4.083706430735845,356443375.0,1861330278.0
2021-09-09,601668.SH,4.1,4.26,4.05,4.19,4.169635751304603,587357873.0,3127092092.0
2021-09-10,601668.SH,4.23,4.29,4.11,4.12,4.198484548121373,601426062.0,3223764667.0
2021-09-13,601668.SH,4.11,4.21,4.08,4.14,4.155256186068086,394389991.0,2094011297.0
2021-09-14,601668.SH,4.12,4.17,3.97,3.98,4.036657560820083,467600254.0,2413967159.0
2021-09-15,601668.SH,3.97,4.01,3.94,3.95,3.9670777161118522,292070323.0,1481332059.0
2021-09-16,601668.SH,3.97,3.99,3.87,3.87,3.917049619571835,329221968.0,1649461236.0
2021-09-17,601668.SH,3.87,3.89,3.79,3.85,3.8375149238499575,299663474.0,1469563175.0
2021-09-22,601668.SH,3.79,3.92,3.79,3.89,3.8539963272024327,303662162.0,1495232622.0
2021-09-23,601668.SH,3.91,4.01,3.9,3.95,3.9543320250634717,299516073.0,1514215012.0
2021-09-24,601668.SH,3.94,3.98,3.84,3.85,3.9009325854153745,235879869.0,1175881875.0
2021-09-27,601668.SH,3.86,3.87,3.76,3.79,3.8030228810630753,235265976.0,1142599986.0
2021-09-28,601668.SH,3.79,3.85,3.78,3.81,3.808880446737944,229083307.0,1115307880.0
2021-09-29,601668.SH,3.79,3.82,3.75,3.77,3.773579854679661,207123402.0,999282780.0
2021-09-30,601668.SH,3.77,3.79,3.72,3.76,3.7573126847958083,193766007.0,929412097.0
2021-10-08,601668.SH,3.81,3.84,3.76,3.79,3.784765627152242,205538591.0,995485399.0
2021-10-11,601668.SH,3.79,3.81,3.76,3.78,3.789208001309937,149783485.0,725216552.0
2021-10-12,601668.SH,3.77,3.78,3.71,3.73,3.7405643599035785,206501165.0,987800371.0
2021-10-13,601668.SH,3.72,3.74,3.69,3.69,3.697237563842237,174251594.0,824080711.0
2021-10-14,601668.SH,3.7,3.71,3.66,3.69,3.6831675032182623,114904952.0,541347142.0
2021-10-15,601668.SH,3.69,3.7,3.63,3.65,3.656307729606232,243401052.0,1136209049.0
2021-10-18,601668.SH,3.64,3.7,3.64,3.69,3.682228015039029,151006498.0,709742570.0
2021-10-19,601668.SH,3.68,3.7,3.65,3.69,3.6869765124175413,97548531.0,459077117.0
2021-10-20,601668.SH,3.69,3.69,3.64,3.65,3.653742284675225,120292003.0,562339621.0
2021-10-21,601668.SH,3.65,3.72,3.65,3.7,3.6912141574526998,138847479.0,655189092.0
2021-10-22,601668.SH,3.71,3.75,3.69,3.7,3.7152064054540377,159878031.0,759331042.0
2021-10-25,601668.SH,3.65,3.69,3.65,3.67,3.6643270483720944,138416300.0,648168980.0
2021-10-26,601668.SH,3.66,3.69,3.65,3.65,3.667504388690757,128879100.0,603456805.0
2021-10-27,601668.SH,3.66,3.67,3.6,3.61,3.617355298279133,156033438.0,722343250.0
2021-10-28,601668.SH,3.61,3.62,3.58,3.61,3.5989928400103044,113284912.0,520651085.0
