trade_date,trade_symbol,open,high,low,close,vwap,volume,amount,benchmark_open,benchmark_close
2021-07-19,688008.SH,57.67,57.67,55.75,56.71,56.34442511416217,7317547.0,421681763.0,5083.728,5113.495
2021-07-20,688008.SH,56.52,57.35,56.2,56.92,56.88712910702701,5078257.0,295434630.0,5080.216,5108.994
2021-07-21,688008.SH,57.13,59.81,57.13,59.16,58.65867198225959,8684242.0,520944375.0,5122.784,5144.043
2021-07-22,688008.SH,59.16,63.04,58.45,62.58,60.84577414462537,13930256.0,866830001.0,5150.386,5151.752
2021-07-23,688008.SH,62.48,63.65,60.88,62.73,62.43096484541151,10480515.0,669224356.0,5145.431,5089.228
2021-07-26,688008.SH,62.77,66.0,61.27,65.62,63.92899569467692,13983592.0,914255620.0,5067.307,4925.299
2021-07-27,688008.SH,65.81,71.65,64.31,64.32,67.4956555706538,21931599.0,1513888709.0,4924.282,4751.313
2021-07-28,688008.SH,63.45,66.11,60.84,63.17,63.69191405238853,13381090.0,871560287.0,4714.295,4760.483
2021-07-29,688008.SH,65.51,66.45,63.65,65.5,65.26993233517108,11536084.0,770087812.0,4845.76,4850.275
2021-07-30,688008.SH,65.4,68.6,64.29,65.97,66.84495704633106,13722255.0,938119925.0,4825.7,4811.17
2021-08-02,688008.SH,65.51,68.41,63.68,65.19,65.94272672892237,11487223.0,774696203.0,4794.819,4933.736
2021-08-03,688008.SH,65.03,65.14,60.21,60.43,62.13621729669378,12618147.0,801818873.0,4909.233,4934.458
2021-08-04,688008.SH,60.64,61.96,60.13,61.26,61.157397497114005,7524280.0,470606615.0,4927.736,4978.848
2021-08-05,688008.SH,61.16,61.92,59.42,59.91,60.3104326179253,8053064.0,496709144.0,4946.167,4948.67
2021-08-06,688008.SH,60.21,61.34,58.67,59.43,59.44448460842009,7477110.0,454569509.0,4943.043,4921.565
2021-08-09,688008.SH,58.69,59.94,57.47,59.64,58.43883105285323,8416444.0,502980510.0,4890.257,4985.563
2021-08-10,688008.SH,60.62,65.8,60.44,63.94,63.6230270053386,17240551.0,1121770913.0,4977.816,5043.148
2021-08-11,688008.SH,64.32,64.51,62.07,62.89,62.97577109055632,7425787.0,478278020.0,5037.082,5015.341
2021-08-12,688008.SH,62.9,65.0,62.09,62.97,63.66657312975351,7467095.0,486200415.0,4998.073,4973.351
2021-08-13,688008.SH,62.77,62.89,58.37,58.66,59.850009381485464,13305770.0,814406138.0,4958.758,4945.983
2021-08-16,688008.SH,58.77,59.11,57.4,58.08,58.07458010118306,6723809.0,399356984.0,4935.923,4941.068
2021-08-17,688008.SH,57.69,59.25,57.59,58.18,58.320493579209646,6812892.0,406345958.0,4935.004,4837.403
